Period,,,Calibration,,,,Analysis,,,Parameters,,,,,,
Start time,Finish Time,TimeStamp,Speicies,B filed (T),Area,Temperature (K),Polarization,Area,CC,A,G,r,wQ,wL,eta,xi
,,1677794267,Deuteron,5,-0.116491354,1.07150893,48.371,-0.1214,-3.9842,0.077,0,2.227,0.027,32.696,-0.02,0.007
,,1677794364,Deuteron,5,-0.11636256,1.07119142,48.3242,-0.1212,-3.9865,0.077,0,2.225,0.027,32.696,-0.02,0.008
,,1677794460,Deuteron,5,-0.116448801,1.0700745,48.1504,-0.1213,-3.9687,0.077,0,2.217,0.027,32.696,-0.02,0.011
,,1677794557,Deuteron,5,-0.116393331,1.07355556,48.3341,-0.1212,-3.9874,0.077,0,2.225,0.027,32.696,-0.02,0.01
,,1677794653,Deuteron,5,-0.116460672,1.0687871,48.1684,-0.1212,-3.9736,0.077,0,2.218,0.027,32.696,-0.02,0.01
,,1677794750,Deuteron,5,-0.116482036,1.0708732,48.7288,-0.1214,-4.0131,0.076,0,2.243,0.027,32.696,-0.02,0.009
,,1677794846,Deuteron,5,-0.116415507,1.06991421,48.3976,-0.1213,-3.9903,0.077,0,2.228,0.027,32.696,-0.02,0.011
,,1677794942,Deuteron,5,-0.116326575,1.07135026,49.1012,-0.1213,-4.0466,0.076,0,2.261,0.027,32.696,-0.02,0.012
3/3/2023 14:40,3/6/2023 11:00,1677944859,Deuteron,5,-0.106291051,1.07557311,41.737,-0.1111,-3.7552,0.081,0,1.958,0.027,32.696,-0.02,0.015
,,1677944955,Deuteron,5,-0.106375222,1.07634155,41.4811,-0.1112,-3.7303,0.081,0,1.949,0.027,32.696,-0.02,0.018
,,1677945052,Deuteron,5,-0.106290086,1.07710586,42.0025,-0.1111,-3.78,0.081,0,1.968,0.027,32.696,-0.02,0.01
,,1677945148,Deuteron,5,-0.106251958,1.07588098,41.7314,-0.111,-3.7579,0.081,0,1.958,0.027,32.696,-0.02,0.017
,,1677945245,Deuteron,5,-0.106349665,1.07756249,41.9391,-0.1112,-3.7726,0.081,0,1.966,0.027,32.696,-0.02,0.013
,,1677945341,Deuteron,5,-0.106409251,1.07541893,41.6813,-0.1113,-3.7454,0.081,0,1.956,0.027,32.696,-0.02,0.014
,,1677945437,Deuteron,5,-0.106299571,1.07618819,41.5591,-0.1111,-3.74,0.08,0,1.952,0.027,32.696,-0.02,0.018
,,1677945534,Deuteron,5,-0.106477664,1.07649474,42.0436,-0.1113,-3.7773,0.081,0,1.97,0.027,32.696,-0.02,0.012
,,1677945630,Deuteron,5,-0.106294784,1.07649474,41.8482,-0.1112,-3.7639,0.081,0,1.963,0.027,32.696,-0.02,0.015
,,1677945727,Deuteron,5,-0.106384218,1.07292897,41.7842,-0.1112,-3.7587,0.08,0,1.96,0.027,32.696,-0.02,0.014
,,1677945823,Deuteron,5,-0.106270253,1.07664776,41.8264,-0.1111,-3.7644,0.081,0,1.962,0.027,32.696,-0.02,0.013
,,1677945920,Deuteron,5,-0.106379651,1.07664776,41.4508,-0.1113,-3.7247,0.081,0,1.948,0.027,32.696,-0.02,0.015
,,1677946016,Deuteron,5,-0.106330653,1.07572713,41.8617,-0.1113,-3.7619,0.081,0,1.963,0.027,32.696,-0.02,0.01
,,1677946113,Deuteron,5,-0.106240271,1.07634155,41.745,-0.1111,-3.7569,0.081,0,1.959,0.027,32.696,-0.02,0.016
3/15/2023 10:30,3/17/2023 11:00,1678955622,Deuteron,5,-0.122050747,1.07588098,47.9257,-0.1272,-3.7688,0.076,0,2.207,0.027,32.677,-0.02,0.018
,,1678955719,Deuteron,5,-0.12184015,1.07695332,47.7134,-0.1272,-3.7513,0.076,0,2.198,0.027,32.678,-0.02,0.018
,,1678955815,Deuteron,5,-0.121510978,1.07649474,47.8291,-0.1269,-3.77,0.076,0,2.203,0.027,32.678,-0.02,0.018
,,1678955912,Deuteron,5,-0.122026353,1.07603467,47.6962,-0.1273,-3.7472,0.076,0,2.197,0.027,32.678,-0.02,0.018
,,1678956008,Deuteron,5,-0.12204213,1.0740237,47.6736,-0.1273,-3.7456,0.076,0,2.196,0.027,32.678,-0.02,0.02
,,1678956104,Deuteron,5,-0.121594296,1.07680062,47.5224,-0.1271,-3.7387,0.076,0,2.189,0.027,32.677,-0.02,0.023
,,1678956201,Deuteron,5,-0.121959854,1.07710586,47.9635,-0.1273,-3.7691,0.076,0,2.209,0.027,32.678,-0.02,0.017
,,1678956297,Deuteron,5,-0.121758195,1.07664776,47.643,-0.1272,-3.7467,0.076,0,2.195,0.027,32.678,-0.02,0.02
,,1678956394,Deuteron,5,-0.12155436,1.07862232,47.6281,-0.1271,-3.7475,0.076,0,2.194,0.027,32.677,-0.02,0.019
,,1678956490,Deuteron,5,-0.121893129,1.07771438,47.8543,-0.1272,-3.7636,0.076,0,2.204,0.027,32.678,-0.02,0.017
,,1678956587,Deuteron,5,-0.121741831,1.0778661,47.8235,-0.1271,-3.7631,0.076,0,2.203,0.027,32.678,-0.02,0.019
,,1678956683,Deuteron,5,-0.122150177,1.07603467,47.882,-0.1273,-3.7614,0.076,0,2.205,0.027,32.678,-0.02,0.017
3/17/2023 11:40,3/19/2023 9:30,1679155279,Deuteron,5,0.089621373,1.05942893,-34.7815,0.0934,-3.7224,0.082,0,0.578,0.027,32.677,-0.02,-0.018
,,1679155376,Deuteron,5,0.089860081,1.0700745,-35.0773,0.0937,-3.7451,0.082,0,0.575,0.027,32.677,-0.02,-0.016
,,1679155472,Deuteron,5,0.089552651,1.07214181,-34.8718,0.0933,-3.7365,0.082,0,0.578,0.027,32.677,-0.02,-0.018
,,1679155568,Deuteron,5,0.089726354,1.0628434,-34.7315,0.0935,-3.7166,0.082,0,0.579,0.027,32.677,-0.02,-0.019
,,1679155665,Deuteron,5,0.089639194,1.0653506,-34.6836,0.0934,-3.7116,0.082,0,0.579,0.027,32.677,-0.02,-0.02
,,1679155761,Deuteron,5,0.089630839,1.06401901,-34.8431,0.0934,-3.7292,0.082,0,0.578,0.027,32.677,-0.02,-0.018
,,1679155858,Deuteron,5,0.089711887,1.06650546,-35.0204,0.0935,-3.7442,0.082,0,0.576,0.027,32.677,-0.02,-0.015
,,1679155954,Deuteron,5,0.089585115,1.05450338,-35.1878,0.0934,-3.7655,0.082,0,0.574,0.027,32.677,-0.02,-0.014
,,1679156051,Deuteron,5,0.089828281,1.06911005,-35.0173,0.0936,-3.7463,0.082,0,0.576,0.027,32.677,-0.02,-0.017
,,1679156147,Deuteron,5,0.08960958,1.06666967,-35.0941,0.0935,-3.7527,0.082,0,0.575,0.027,32.677,-0.02,-0.014
,,1679156244,Deuteron,5,0.089683622,1.06699751,-34.8376,0.0935,-3.726,0.082,0,0.578,0.027,32.677,-0.02,-0.017
